gene,gene_id,condition,donor_correlation_mean,donor_correlation_min
SLC25A22,ENSG00000177542,Rest,0.421445690440747,0.408174966929371
SLC25A27,ENSG00000153291,Rest,-0.170546030323826,-0.3691432828619094
SLC25A3,ENSG00000075415,Rest,0.3000158351583236,0.1518622204707273
SLC25A51,ENSG00000122696,Rest,0.4453213763412189,0.4167279899951114
SLC27A3,ENSG00000143554,Rest,0.550070108212229,0.4006690262268955
SLC31A1,ENSG00000136868,Rest,0.4330031719168992,0.4276450162758261
SLC33A1,ENSG00000169359,Rest,0.4228325481297282,0.3603064719924961
SLC35A2,ENSG00000102100,Rest,0.4834463387625385,0.2027129230570241
SLC35B1,ENSG00000121073,Rest,0.3646185610033929,0.2772192383132309
SLC35C2,ENSG00000080189,Rest,0.5882658051407127,0.5065839085443051
SLC35D2,ENSG00000130958,Rest,0.2086082108420794,0.1557229441813711
SLC35E3,ENSG00000175782,Rest,0.2733655230938055,0.054348939133913
SLC39A6,ENSG00000141424,Rest,0.7057547758725585,0.387105340709692
SLC4A1AP,ENSG00000163798,Rest,0.3454480748581023,0.285837943741824
SLC5A6,ENSG00000138074,Rest,-0.259963667387503,-0.3457192798415921
SLC7A11,ENSG00000151012,Rest,0.2785347274023336,0.114368672810808
SLC9A5,ENSG00000135740,Rest,0.6357612603588735,0.6031471543386208
SLTM,ENSG00000137776,Rest,0.4267565048983505,0.3198076402205178
SMAD3,ENSG00000166949,Rest,-0.1991874833838266,-0.2889473532411969
SMAD4,ENSG00000141646,Rest,0.5369367137329146,0.0397306633240935
SMAD7,ENSG00000101665,Rest,0.9993766750667546,0.9981300252002638
SMAGP,ENSG00000170545,Rest,0.2152201051066475,0.0695645965755992
SMARCA4,ENSG00000127616,Rest,0.2705450491325408,0.2147189157161165
SMARCA5,ENSG00000153147,Rest,0.6263183063468368,0.5921806036340173
SMARCB1,ENSG00000099956,Rest,0.597225608993055,0.5567681189827525
SMARCC1,ENSG00000173473,Rest,0.8268036177968799,0.7977409550129104
SMARCD1,ENSG00000066117,Rest,0.4629770252175056,0.4191341205566674
SMARCD2,ENSG00000108604,Rest,0.5383085262871878,0.4573563712788148
SMARCE1,ENSG00000073584,Rest,0.711098727950493,0.7004396363321987
SMG1,ENSG00000157106,Rest,0.3355629112800879,0.2062564236351119
SMG5,ENSG00000198952,Rest,0.2348523241729087,0.1844403212171746
SMG7,ENSG00000116698,Rest,0.3782917943265952,0.3703380017992062
SMG8,ENSG00000167447,Rest,0.6564474446021578,0.6171031887341176
SMG9,ENSG00000105771,Rest,0.6896856585386599,0.6397145805228696
SMS,ENSG00000102172,Rest,-0.0302387438173505,-0.1368556836685556
SNAP23,ENSG00000092531,Rest,0.5606099820304233,0.3686650036444582
SNPH,ENSG00000101298,Rest,0.325899253821285,0.2504632532173576
SNTB1,ENSG00000172164,Rest,0.5573078174512421,0.4804810665426295
SNUPN,ENSG00000169371,Rest,-0.0210302343570616,-0.1497322989538964
SNX1,ENSG00000028528,Rest,-0.0494031445785667,-0.2148574678129201
SOCS3,ENSG00000184557,Rest,0.1315559908888741,0.0493993694898306
SOCS4,ENSG00000180008,Rest,0.5441067769272933,0.4963405885002375
SOCS5,ENSG00000171150,Rest,0.2442969779772713,0.1772579715363756
SP1,ENSG00000185591,Rest,0.4864025817503575,0.3846247959528882
SP100,ENSG00000067066,Rest,0.5132802573078571,0.43620815012346
SP140L,ENSG00000185404,Rest,0.3900161328407779,0.2682622195827567
SP2,ENSG00000167182,Rest,0.7713852604433685,0.7309058153045721
SP5,ENSG00000204335,Rest,0.0378809454025339,-0.1027725509374764
SPOP,ENSG00000121067,Rest,0.5205319594015855,0.4178250495311874
SPSB2,ENSG00000111671,Rest,-0.3697466023897294,-0.5067572501671993
SPSB3,ENSG00000162032,Rest,0.0478741649980093,-0.2031270650101689
SPTBN1,ENSG00000115306,Rest,-0.0111852885273765,-0.286250752868342
SPTLC2,ENSG00000100596,Rest,0.2307419963357158,-0.0082200606353951
SRD5A1,ENSG00000145545,Rest,0.1926643430923094,0.1325030465568704
SRD5A3,ENSG00000128039,Rest,0.4216807357540214,0.2817768771232302
SRF,ENSG00000112658,Rest,0.4262451752244678,0.1753954529573119
SRP14,ENSG00000140319,Rest,0.4918027598884882,0.3685824297092815
SRPK1,ENSG00000096063,Rest,0.9072924310293756,0.8064803214393066
SRR,ENSG00000167720,Rest,0.4474530203415261,0.2750702058591545
SRRD,ENSG00000100104,Rest,0.8917392843088795,0.8026682805190336
SRSF10,ENSG00000188529,Rest,0.6033755022060178,0.527458174396475
